# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
5,70.0,2.0,4.0,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
AAPL,13,7,6,53.8,0.29,5.45,70.79,0.6,1.0,1.5,3.38,10.87,251,0.11,2,3,7,1,0
NVDA,18,7,11,38.9,-0.24,2.8,50.36,0.34,5.0,0.6,1.61,16.49,251,0.1,0,5,10,3,0
MSFT,14,5,9,35.7,-0.28,-0.81,-11.36,-0.15,2.9,0.5,0.81,10.39,251,0.11,5,2,6,1,0
META,15,3,12,20.0,-0.84,-1.74,-26.1,-0.28,4.6,0.6,0.52,9.75,251,0.11,4,6,4,1,0
TSLA,19,7,12,36.8,-0.26,-5.93,-112.71,-0.63,11.3,0.7,0.53,15.67,251,0.1,9,2,8,0,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
5,2,79,36.7,-0.28,-0.37,-29.02,15.08,-9.33,63.17,1.4

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
AAPL,long,2025-08-25,2025-09-03,6,226.0669,234.46,213.6,234.46,4,33.57,3.71,0.67,take_profit,6,83.3,0.9
AAPL,long,2025-09-17,2025-09-19,2,238.5341,240.64,231.17,240.64,4,8.42,0.88,0.29,take_profit,5,73.3,0.95
AAPL,long,2025-10-21,2025-10-21,0,261.4023,263.63,251.07,263.63,3,6.68,0.85,0.22,take_profit,5,73.3,0.78
AAPL,long,2025-11-05,2025-11-17,8,268.1201,265.36,265.36,276.54,3,-8.28,-1.03,-1.0,stop,6,83.3,0.8
AAPL,long,2025-11-24,2025-11-24,0,270.668,276.19,269.17,276.19,3,16.57,2.04,3.69,take_profit,7,100.0,0.81
AAPL,long,2025-12-11,2025-12-11,0,278.861,278.58,280.39,288.08,3,-0.84,-0.1,-0.18,gap_stop,6,83.3,0.84
AAPL,long,2026-02-02,2026-02-02,0,259.8074,261.46,250.81,261.46,3,4.96,0.64,0.18,take_profit,5,73.3,0.78
AAPL,long,2026-02-19,2026-02-19,0,262.6206,262.36,264.83,280.39,3,-0.79,-0.1,-0.12,gap_stop,6,83.3,0.79
AAPL,long,2026-02-24,2026-02-27,3,267.8811,264.65,264.65,279.92,3,-9.69,-1.21,-1.0,stop,6,83.3,0.8
AAPL,short,2026-03-30,2026-03-30,0,249.59,245.77,252.57,245.77,4,15.28,1.53,1.28,take_profit,-5,73.3,1.0
AAPL,short,2026-04-08,2026-04-08,0,257.9539,258.21,255.56,245.28,3,-0.77,-0.1,-0.11,gap_stop,-5,77.8,0.77
AAPL,long,2026-04-30,2026-04-30,0,270.5213,275.52,256.95,275.52,3,15.0,1.85,0.37,take_profit,5,72.2,0.81
AAPL,long,2026-05-04,2026-05-04,0,279.682,276.58,273.28,286.96,3,-9.32,-1.11,-0.49,signal_flip,5,73.3,0.84
NVDA,long,2025-09-15,2025-09-16,1,175.6217,174.66,170.04,180.05,5,-4.82,-0.55,-0.17,signal_flip,6,83.3,0.88
NVDA,long,2025-09-19,2025-09-22,1,175.7216,180.05,171.69,180.05,5,21.64,2.46,1.07,take_profit,6,83.3,0.88
NVDA,long,2025-09-29,2025-09-29,0,180.3804,181.62,174.35,184.31,5,6.19,0.69,0.21,signal_flip,6,83.3,0.9
NVDA,long,2025-10-14,2025-10-14,0,184.7192,184.53,187.0,195.37,5,-0.92,-0.1,-0.08,gap_stop,6,83.3,0.92
NVDA,short,2025-10-16,2025-10-22,4,181.8159,177.06,188.38,177.06,5,23.78,2.62,0.72,take_profit,-7,100.0,0.91
NVDA,long,2025-10-27,2025-10-27,0,189.9378,187.23,180.62,187.23,5,-13.54,-1.43,-0.29,take_profit,6,83.3,0.95
NVDA,long,2025-11-11,2025-11-11,0,195.1063,192.91,191.05,211.07,5,-10.96,-1.12,-0.54,signal_flip,5,72.2,0.97
NVDA,short,2025-11-21,2025-11-21,0,180.8281,179.42,189.51,179.42,5,7.04,0.78,0.16,take_profit,-5,73.3,0.91
NVDA,long,2025-12-22,2025-12-23,1,183.8796,185.25,175.89,185.25,5,6.85,0.75,0.17,take_profit,6,88.9,0.92
NVDA,long,2026-01-16,2026-01-20,1,189.0385,181.68,184.92,191.94,5,-36.8,-3.89,-1.79,gap_stop,6,88.9,0.94
NVDA,long,2026-01-28,2026-01-28,0,191.228,190.21,182.29,190.21,5,-5.09,-0.53,-0.11,take_profit,5,72.2,0.96
NVDA,long,2026-02-20,2026-02-23,1,186.5291,193.42,184.49,193.42,5,34.45,3.69,3.38,take_profit,5,72.2,0.93
NVDA,short,2026-03-02,2026-03-02,0,174.622,176.17,189.28,176.17,5,-7.74,-0.89,-0.11,take_profit,-5,73.3,0.87
NVDA,short,2026-03-13,2026-03-13,0,184.52,184.7,182.8,175.35,5,-0.92,-0.1,-0.11,gap_stop,-5,72.2,0.92
NVDA,long,2026-05-05,2026-05-05,0,199.2671,199.07,202.94,216.58,5,-1.0,-0.1,-0.05,gap_stop,6,83.3,1.0
NVDA,long,2026-05-07,2026-05-08,1,208.3056,216.58,202.94,216.58,4,33.1,3.97,1.54,take_profit,7,100.0,0.83
NVDA,long,2026-05-21,2026-05-21,0,222.2532,222.03,222.28,236.26,4,-0.89,-0.1,-8.28,gap_stop,7,100.0,0.89
NVDA,long,2026-06-02,2026-06-02,0,227.1424,227.14,215.64,227.14,4,-0.01,-0.0,-0.0,take_profit,7,100.0,0.91
MSFT,long,2025-08-05,2025-08-06,1,533.4561,521.53,521.53,551.05,1,-11.93,-2.24,-1.0,stop,5,73.3,0.53
MSFT,long,2025-08-12,2025-08-12,0,520.1193,519.6,527.81,551.05,1,-0.52,-0.1,-0.07,gap_stop,6,83.3,0.52
