# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,2.0,4.0,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
AAPL,15,8,7,53.3,0.22,5.08,76.27,0.56,1.0,1.4,3.29,12.47,251,0.11,3,3,8,1,0
GOOGL,12,5,7,41.7,-0.08,1.86,22.26,0.21,2.7,0.5,1.44,10.79,251,0.1,3,3,6,0,0
MSFT,17,7,10,41.2,-0.12,0.76,13.0,0.02,2.7,0.8,1.2,12.7,251,0.1,5,2,8,2,0
COST,24,8,16,33.3,-0.16,-1.38,-33.15,-0.14,3.9,0.3,0.69,23.05,251,0.1,6,1,13,4,0
META,20,5,15,25.0,-0.68,-1.59,-31.73,-0.26,5.4,0.6,0.62,13.04,251,0.1,6,7,6,1,0
NVDA,22,8,14,36.4,-0.3,-3.66,-80.44,-0.39,15.2,0.9,0.67,20.06,251,0.11,2,6,9,5,0
JPM,19,3,16,15.8,-0.56,-7.28,-138.25,-0.81,13.8,0.8,0.26,17.13,251,0.1,7,5,4,3,0
AMZN,24,3,21,12.5,-0.53,-10.33,-248.02,-1.12,24.8,0.9,0.13,21.18,251,0.11,11,6,7,0,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
8,3,153,30.7,-0.31,-2.75,-420.06,13.52,-9.96,130.42,2.3

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
AAPL,long,2025-08-25,2025-09-03,6,226.0669,234.46,213.6,234.46,4,33.57,3.71,0.67,take_profit,6,83.3,0.9
AAPL,long,2025-09-15,2025-09-19,4,236.5677,240.64,231.17,240.64,4,16.29,1.72,0.75,take_profit,5,64.4,0.95
AAPL,long,2025-10-21,2025-10-21,0,261.4024,263.63,251.07,263.63,3,6.68,0.85,0.22,take_profit,5,73.3,0.78
AAPL,long,2025-11-05,2025-11-17,8,268.1201,265.36,265.36,276.54,3,-8.28,-1.03,-1.0,stop,6,83.3,0.8
AAPL,long,2025-11-24,2025-11-24,0,270.668,276.19,269.17,276.19,3,16.57,2.04,3.69,take_profit,7,100.0,0.81
AAPL,long,2025-12-11,2025-12-11,0,278.861,278.58,280.39,288.08,3,-0.84,-0.1,-0.18,gap_stop,6,83.3,0.84
AAPL,short,2026-01-02,2026-01-02,0,271.4833,272.68,272.68,269.06,3,-3.59,-0.44,-1.0,stop,-4,61.1,0.82
AAPL,long,2026-02-02,2026-02-02,0,259.8074,261.46,250.81,261.46,3,4.96,0.64,0.18,take_profit,5,73.3,0.78
AAPL,long,2026-02-19,2026-02-19,0,262.6206,262.36,264.83,280.39,3,-0.79,-0.1,-0.12,gap_stop,6,83.3,0.79
AAPL,long,2026-02-24,2026-02-27,3,267.8811,264.65,264.65,279.92,3,-9.69,-1.21,-1.0,stop,6,83.3,0.8
AAPL,short,2026-03-05,2026-03-05,0,260.2894,259.89,269.76,259.89,3,1.2,0.15,0.04,take_profit,-4,61.1,0.78
AAPL,short,2026-03-30,2026-03-30,0,249.59,245.77,252.57,245.77,4,15.28,1.53,1.28,take_profit,-5,73.3,1.0
AAPL,short,2026-04-08,2026-04-08,0,257.9539,258.21,255.56,245.28,3,-0.77,-0.1,-0.11,gap_stop,-5,77.8,0.77
AAPL,long,2026-04-30,2026-04-30,0,270.5213,275.52,256.95,275.52,3,15.0,1.85,0.37,take_profit,5,72.2,0.81
AAPL,long,2026-05-04,2026-05-04,0,279.682,276.58,273.28,286.96,3,-9.32,-1.11,-0.49,signal_flip,5,73.3,0.84
GOOGL,short,2025-10-06,2025-10-06,0,244.0577,246.62,246.62,238.14,4,-10.25,-1.05,-1.0,stop,-4,61.1,0.98
GOOGL,long,2025-11-20,2025-11-20,0,304.2492,303.22,282.79,303.22,3,-3.09,-0.34,-0.05,take_profit,5,73.3,0.91
GOOGL,long,2025-12-11,2025-12-11,0,319.9835,315.29,315.29,322.53,3,-14.08,-1.47,-1.0,stop,6,83.3,0.96
GOOGL,long,2025-12-30,2025-12-30,0,312.4059,314.68,302.97,314.68,3,6.82,0.73,0.24,take_profit,6,83.3,0.94
GOOGL,long,2026-01-21,2026-01-21,0,320.8233,320.5,327.67,340.05,3,-0.96,-0.1,-0.05,gap_stop,5,73.3,0.96
GOOGL,long,2026-01-27,2026-01-27,0,335.269,337.25,325.93,337.25,2,3.96,0.59,0.21,take_profit,5,72.2,0.67
GOOGL,short,2026-02-09,2026-02-13,4,320.1923,306.06,332.32,306.06,3,42.4,4.41,1.17,take_profit,-4,62.2,0.96
GOOGL,short,2026-02-27,2026-02-27,0,303.4409,310.23,310.23,295.86,3,-20.37,-2.24,-1.0,stop,-5,72.2,0.91
GOOGL,short,2026-03-04,2026-03-06,2,302.1938,296.32,310.4,296.32,3,17.62,1.94,0.72,take_profit,-5,72.2,0.91
GOOGL,short,2026-03-13,2026-03-13,0,306.5199,306.83,304.61,293.9,3,-0.92,-0.1,-0.16,gap_stop,-5,72.2,0.92
GOOGL,short,2026-03-24,2026-03-24,0,298.7224,298.09,306.86,298.09,3,1.9,0.21,0.08,take_profit,-5,72.2,0.9
GOOGL,long,2026-05-27,2026-05-27,0,386.8256,386.44,391.79,408.37,2,-0.77,-0.1,-0.08,gap_stop,6,83.3,0.77
MSFT,long,2025-08-05,2025-08-06,1,533.4561,521.53,521.53,551.05,1,-11.93,-2.24,-1.0,stop,5,73.3,0.53
MSFT,long,2025-08-12,2025-08-12,0,520.1193,519.6,527.81,551.05,1,-0.52,-0.1,-0.07,gap_stop,6,83.3,0.52
MSFT,short,2025-09-02,2025-09-02,0,496.823,495.37,515.83,495.37,2,2.91,0.29,0.08,take_profit,-5,72.2,0.99
MSFT,long,2025-09-15,2025-09-15,0,506.0936,509.32,496.93,509.32,1,3.23,0.64,0.35,take_profit,5,73.3,0.51
MSFT,long,2025-09-29,2025-09-29,0,508.7892,507.27,507.27,516.03,1,-1.52,-0.3,-1.0,stop,6,83.3,0.51
