# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
AAPL,13,6,7,46.2,0.72,9.27,120.49,1.09,3.0,2.9,2.66,10.82,251,0.11,5,0,5,3,0
GOOGL,12,6,6,50.0,0.26,3.62,43.42,0.38,4.3,1.3,1.54,10.79,251,0.11,6,0,2,4,0
TSLA,21,6,15,28.6,0.12,1.32,27.66,0.17,8.9,1.2,1.15,17.52,251,0.1,15,0,5,1,0
MSFT,13,4,9,30.8,-0.09,-1.65,-21.48,-0.13,3.6,4.1,0.76,9.78,251,0.11,7,0,1,5,0
NVDA,25,7,18,28.0,-0.13,-1.92,-47.99,-0.19,9.5,0.7,0.8,22.72,251,0.11,16,1,4,4,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
5,3,84,34.5,0.13,1.45,122.1,27.31,-12.18,71.63,1.5

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
AAPL,long,2025-08-25,2025-09-03,6,226.0669,236.24,222.68,236.24,4,40.69,4.5,3.0,take_profit,6,83.3,0.9
AAPL,long,2025-09-15,2025-09-22,5,236.5677,247.21,233.02,247.21,4,42.57,4.5,3.0,take_profit,5,64.4,0.95
AAPL,long,2025-10-21,2025-10-22,1,261.4024,257.48,257.48,273.17,3,-11.77,-1.5,-1.0,stop,5,73.3,0.78
AAPL,long,2025-11-05,2025-12-01,17,268.12,280.19,264.1,280.19,3,36.21,4.5,3.0,take_profit,6,83.3,0.8
AAPL,long,2025-12-11,2025-12-11,0,278.861,274.68,274.68,291.41,3,-12.54,-1.5,-1.0,stop,6,83.3,0.84
AAPL,short,2026-01-02,2026-01-02,0,271.4834,275.56,275.56,259.27,3,-12.23,-1.5,-1.0,stop,-4,61.1,0.82
AAPL,long,2026-02-02,2026-02-04,2,259.8073,271.5,255.91,271.5,3,35.08,4.5,3.0,take_profit,5,73.3,0.78
AAPL,long,2026-02-19,2026-02-19,0,262.6206,260.34,258.68,274.44,3,-6.84,-0.87,-0.58,signal_flip,6,83.3,0.79
AAPL,long,2026-02-24,2026-02-27,3,267.8811,263.86,263.86,279.94,3,-12.06,-1.5,-1.0,stop,6,83.3,0.8
AAPL,short,2026-03-05,2026-03-09,2,260.2894,259.64,264.19,248.58,3,1.95,0.25,0.17,signal_flip,-4,61.1,0.78
AAPL,short,2026-03-30,2026-03-31,1,249.59,253.33,253.33,238.36,4,-14.96,-1.5,-1.0,stop,-5,73.3,1.0
AAPL,short,2026-04-08,2026-04-08,0,257.9539,258.66,261.82,246.35,3,-2.12,-0.27,-0.18,signal_flip,-5,77.8,0.77
AAPL,long,2026-04-30,2026-05-01,1,270.5213,282.69,266.46,282.69,3,36.51,4.5,3.0,take_profit,5,72.2,0.81
GOOGL,short,2025-10-06,2025-10-06,0,244.0577,247.72,247.72,233.08,4,-14.65,-1.5,-1.0,stop,-4,61.1,0.98
GOOGL,long,2025-11-20,2025-11-20,0,304.2492,299.69,299.69,317.94,3,-13.68,-1.5,-1.0,stop,5,73.3,0.91
GOOGL,long,2025-12-11,2025-12-11,0,319.9836,315.18,315.18,334.38,3,-14.41,-1.5,-1.0,stop,6,83.3,0.96
GOOGL,long,2025-12-30,2026-01-08,6,312.4059,326.46,307.72,326.46,3,42.16,4.5,3.0,take_profit,6,83.3,0.94
