# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,65.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
AAPL,13,7,6,53.8,0.29,5.45,70.79,0.6,1.0,1.5,3.38,10.87,251,0.11,2,3,7,1,0
MSFT,15,6,9,40.0,-0.13,0.72,10.85,0.04,2.9,0.5,1.18,11.22,251,0.1,5,2,7,1,0
GOOGL,10,4,6,40.0,-0.11,-0.99,-9.89,-0.09,2.8,0.2,0.75,8.85,251,0.1,2,3,5,0,0
NVDA,19,6,13,31.6,-0.3,-1.36,-25.86,-0.12,12.1,0.7,0.83,17.38,251,0.1,0,6,10,3,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
4,2,57,40.4,-0.08,0.81,45.89,14.29,-8.32,48.32,1.3

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
AAPL,long,2025-08-25,2025-09-03,6,226.0669,234.46,213.6,234.46,4,33.57,3.71,0.67,take_profit,6,83.3,0.9
AAPL,long,2025-09-17,2025-09-19,2,238.5341,240.64,231.17,240.64,4,8.42,0.88,0.29,take_profit,5,73.3,0.95
AAPL,long,2025-10-21,2025-10-21,0,261.4024,263.63,251.07,263.63,3,6.68,0.85,0.22,take_profit,5,73.3,0.78
AAPL,long,2025-11-05,2025-11-17,8,268.12,265.36,265.36,276.54,3,-8.28,-1.03,-1.0,stop,6,83.3,0.8
AAPL,long,2025-11-24,2025-11-24,0,270.668,276.19,269.17,276.19,3,16.57,2.04,3.69,take_profit,7,100.0,0.81
AAPL,long,2025-12-11,2025-12-11,0,278.861,278.58,280.39,288.08,3,-0.84,-0.1,-0.18,gap_stop,6,83.3,0.84
AAPL,long,2026-02-02,2026-02-02,0,259.8073,261.46,250.81,261.46,3,4.96,0.64,0.18,take_profit,5,73.3,0.78
AAPL,long,2026-02-19,2026-02-19,0,262.6206,262.36,264.83,280.39,3,-0.79,-0.1,-0.12,gap_stop,6,83.3,0.79
AAPL,long,2026-02-24,2026-02-27,3,267.8811,264.65,264.65,279.92,3,-9.69,-1.21,-1.0,stop,6,83.3,0.8
AAPL,short,2026-03-30,2026-03-30,0,249.59,245.77,252.57,245.77,4,15.28,1.53,1.28,take_profit,-5,73.3,1.0
AAPL,short,2026-04-08,2026-04-08,0,257.9539,258.21,255.56,245.28,3,-0.77,-0.1,-0.11,gap_stop,-5,77.8,0.77
AAPL,long,2026-04-30,2026-04-30,0,270.5213,275.52,256.95,275.52,3,15.0,1.85,0.37,take_profit,5,72.2,0.81
AAPL,long,2026-05-04,2026-05-04,0,279.682,276.58,273.28,286.96,3,-9.32,-1.11,-0.49,signal_flip,5,73.3,0.84
MSFT,long,2025-08-05,2025-08-06,1,533.4562,521.53,521.53,551.05,1,-11.93,-2.24,-1.0,stop,5,73.3,0.53
MSFT,long,2025-08-12,2025-08-12,0,520.1193,519.6,527.81,551.05,1,-0.52,-0.1,-0.07,gap_stop,6,83.3,0.52
MSFT,short,2025-09-02,2025-09-02,0,496.823,495.37,515.83,495.37,2,2.91,0.29,0.08,take_profit,-5,72.2,0.99
MSFT,long,2025-09-15,2025-09-15,0,506.0936,509.32,496.93,509.32,1,3.23,0.64,0.35,take_profit,5,73.3,0.51
MSFT,long,2025-09-29,2025-09-29,0,508.7892,507.27,507.27,516.03,1,-1.52,-0.3,-1.0,stop,6,83.3,0.51
MSFT,short,2025-10-13,2025-10-14,1,512.6469,506.42,519.56,506.42,1,6.23,1.21,0.9,take_profit,-5,77.8,0.51
MSFT,long,2025-10-27,2025-10-27,0,528.9618,522.04,510.97,522.04,1,-6.92,-1.31,-0.38,take_profit,6,83.3,0.53
MSFT,short,2025-12-02,2025-12-02,0,484.0776,484.56,480.9,462.83,2,-0.97,-0.1,-0.15,gap_stop,-5,72.2,0.97
MSFT,short,2025-12-11,2025-12-15,2,474.0423,472.97,484.31,472.97,2,2.14,0.23,0.1,take_profit,-7,100.0,0.95
MSFT,short,2025-12-18,2025-12-18,0,475.5939,481.97,481.97,468.79,2,-12.75,-1.34,-1.0,stop,-6,83.3,0.95
MSFT,long,2026-01-08,2026-01-08,0,479.5855,475.1,475.1,487.53,2,-8.97,-0.94,-1.0,stop,5,77.8,0.96
MSFT,short,2026-01-30,2026-02-03,2,436.7857,419.15,457.74,419.15,2,35.27,4.04,0.84,take_profit,-5,73.3,0.87
MSFT,short,2026-04-13,2026-04-13,0,372.4297,375.81,375.81,362.29,2,-6.76,-0.91,-1.0,stop,-6,83.3,0.75
MSFT,long,2026-05-07,2026-05-08,1,419.6213,414.22,409.31,428.99,2,-10.8,-1.29,-0.52,signal_flip,6,83.3,0.84
MSFT,long,2026-05-18,2026-05-19,1,416.1353,427.24,410.42,427.24,2,22.21,2.67,1.94,take_profit,5,66.7,0.83
GOOGL,long,2025-11-20,2025-11-20,0,304.2492,303.22,282.79,303.22,3,-3.09,-0.34,-0.05,take_profit,5,73.3,0.91
GOOGL,long,2025-12-11,2025-12-11,0,319.9836,315.29,315.29,322.53,3,-14.08,-1.47,-1.0,stop,6,83.3,0.96
GOOGL,long,2025-12-30,2025-12-30,0,312.4059,314.68,302.97,314.68,3,6.82,0.73,0.24,take_profit,6,83.3,0.94
GOOGL,long,2026-01-21,2026-01-21,0,320.8233,320.5,327.67,340.05,3,-0.96,-0.1,-0.05,gap_stop,5,73.3,0.96
GOOGL,long,2026-01-27,2026-01-27,0,335.269,337.25,325.93,337.25,2,3.96,0.59,0.21,take_profit,5,72.2,0.67
GOOGL,short,2026-02-27,2026-02-27,0,303.4409,310.23,310.23,295.86,3,-20.37,-2.24,-1.0,stop,-5,72.2,0.91
