# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
APP,16,9,7,56.2,1.25,12.45,199.24,1.88,2.9,0.3,3.35,11.97,251,0.11,7,0,9,0,0
NFLX,17,8,9,47.1,0.86,12.18,207.06,1.28,2.3,2.2,3.26,16.44,251,0.11,5,0,6,6,0
INSM,14,6,8,42.9,0.71,10.16,142.19,1.07,4.1,0.7,2.31,12.78,251,0.13,8,0,6,0,0
QCOM,16,8,8,50.0,0.69,9.63,154.09,1.04,6.2,1.2,2.4,14.73,251,0.11,8,0,5,3,0
AAPL,13,6,7,46.2,0.72,9.27,120.49,1.09,3.0,2.9,2.66,10.82,251,0.1,5,0,5,3,0
TTWO,20,11,9,55.0,0.67,8.56,171.28,1.0,5.8,1.0,2.48,17.89,251,0.1,8,0,5,7,0
MNST,19,9,10,47.4,0.56,8.17,155.2,0.84,4.9,2.6,2.15,18.33,251,0.11,9,0,5,5,0
SNDK,20,9,11,45.0,0.73,7.26,145.24,1.1,4.5,0.4,2.0,16.46,251,0.1,10,1,8,1,0
PANW,12,6,6,50.0,0.49,6.2,74.35,0.73,6.8,2.3,1.6,10.82,251,0.14,5,1,5,1,0
KDP,14,5,9,35.7,0.33,4.94,69.13,0.5,6.0,0.9,1.58,13.83,251,0.1,6,1,4,3,0
ZS,16,6,10,37.5,0.35,4.94,79.09,0.52,5.1,0.8,1.59,14.37,251,0.1,10,0,5,1,0
ODFL,18,6,12,33.3,0.33,4.83,86.97,0.5,13.6,0.7,1.51,17.06,251,0.11,12,0,6,0,0
INTU,18,7,11,38.9,0.35,4.5,80.94,0.52,8.1,0.8,1.68,13.14,251,0.16,10,1,5,2,0
AVGO,23,7,16,30.4,0.28,3.91,90.04,0.42,4.3,0.7,1.52,18.59,251,0.12,14,0,7,2,0
ARM,21,7,14,33.3,0.26,3.64,76.5,0.39,10.2,0.6,1.35,19.5,251,0.12,12,2,7,0,0
GOOGL,12,6,6,50.0,0.26,3.62,43.42,0.38,4.3,1.3,1.54,10.79,251,0.1,6,0,2,4,0
LRCX,19,6,13,31.6,0.21,3.29,62.59,0.31,6.8,0.5,1.34,16.93,251,0.14,11,2,6,0,0
NXPI,21,8,13,38.1,0.27,3.13,65.64,0.4,8.9,0.9,1.39,19.03,251,0.11,12,0,5,4,0
BKR,18,6,12,33.3,0.2,2.95,53.05,0.3,7.3,0.8,1.3,17.49,251,0.14,12,0,5,1,0
CMCSA,18,7,11,38.9,0.19,2.83,50.85,0.29,10.0,1.7,1.31,17.77,251,0.1,11,0,4,3,0
ADSK,20,7,13,35.0,0.18,2.55,51.09,0.28,5.8,1.8,1.27,18.3,251,0.19,10,2,5,3,0
CTSH,19,7,12,36.8,0.15,2.07,39.41,0.22,5.3,1.1,1.25,18.4,251,0.1,10,0,3,6,0
SNPS,23,6,17,26.1,0.08,2.06,47.31,0.12,6.8,0.7,1.25,18.58,251,0.1,15,0,6,2,0
CSCO,21,6,15,28.6,0.12,1.88,39.4,0.17,10.6,1.2,1.24,20.27,251,0.1,9,1,4,7,0
TSLA,21,6,15,28.6,0.12,1.32,27.66,0.17,8.9,1.2,1.15,17.52,251,0.1,15,0,5,1,0
PEP,20,8,12,40.0,0.06,1.15,22.92,0.09,4.2,1.9,1.16,18.7,251,0.14,7,1,3,9,0
MU,21,6,15,28.6,0.15,1.02,21.36,0.23,7.0,0.3,1.11,18.2,251,0.11,14,0,6,1,0
MDLZ,18,5,13,27.8,0.06,0.89,15.97,0.09,5.8,3.6,1.11,17.5,251,0.13,9,0,3,6,0
AMD,21,6,15,28.6,0.02,0.55,11.49,0.03,6.7,0.5,1.06,18.39,251,0.11,14,1,4,2,0
AMAT,14,4,10,28.6,0.14,0.48,6.66,0.21,11.5,0.4,1.05,11.55,251,0.18,10,0,4,0,0
COST,20,7,13,35.0,0.02,0.29,5.73,0.03,4.4,1.2,1.04,19.19,251,0.1,6,2,2,10,0
REGN,26,7,19,26.9,0.02,0.17,4.42,0.03,9.2,0.8,1.03,17.33,251,0.11,16,0,5,5,0
WDC,16,4,12,25.0,0.0,0.08,1.28,0.0,7.8,0.6,1.01,14.73,251,0.12,12,0,4,0,0
ORLY,18,8,10,44.4,-0.0,0.03,0.56,-0.01,4.7,1.9,1.0,17.02,251,0.1,8,0,2,8,0
VRSK,17,5,12,29.4,-0.07,0.02,0.32,-0.1,5.3,2.2,1.0,14.83,251,0.14,7,2,3,5,0
ISRG,23,5,18,21.7,-0.07,-0.01,-0.22,-0.1,8.4,1.6,1.0,19.9,251,0.12,14,1,5,3,0
EXC,22,7,15,31.8,-0.02,-0.23,-5.01,-0.03,5.5,1.8,0.98,21.5,251,0.1,11,1,2,8,0
SHOP,26,6,20,23.1,-0.06,-0.52,-13.47,-0.09,11.7,0.4,0.95,23.99,251,0.11,18,1,6,1,0
AEP,15,5,10,33.3,-0.03,-0.54,-8.05,-0.05,4.9,2.9,0.92,14.17,251,0.11,6,0,1,8,0
ALNY,26,7,19,26.9,0.01,-0.77,-20.07,0.01,13.4,0.7,0.92,23.54,251,0.1,18,0,6,2,0
GEHC,24,6,18,25.0,-0.07,-0.98,-23.59,-0.11,11.6,1.3,0.91,23.18,251,0.1,14,2,5,3,0
FANG,27,8,19,29.6,-0.08,-1.08,-29.29,-0.13,10.0,0.9,0.89,24.95,251,0.1,18,1,3,5,0
ADP,18,4,14,22.2,-0.11,-1.2,-21.68,-0.16,8.4,0.8,0.85,15.41,251,0.11,8,1,2,7,0
KLAC,28,8,20,28.6,-0.1,-1.36,-38.05,-0.14,25.5,0.5,0.92,39.4,251,0.12,17,3,6,2,0
ASML,17,5,12,29.4,-0.14,-1.37,-23.36,-0.21,9.5,0.9,0.91,21.5,251,0.11,8,2,3,4,0
WDAY,25,7,18,28.0,-0.1,-1.47,-36.77,-0.16,13.6,0.8,0.85,22.62,251,0.1,18,0,4,3,0
TXN,12,3,9,25.0,-0.12,-1.52,-18.25,-0.17,5.3,2.0,0.85,11.0,251,0.1,9,0,2,1,0
MSFT,13,4,9,30.8,-0.09,-1.65,-21.48,-0.13,3.6,4.1,0.76,9.78,251,0.1,7,0,1,5,0
CSGP,27,7,20,25.9,-0.12,-1.68,-45.35,-0.18,13.3,0.6,0.84,26.14,251,0.11,18,1,5,3,0
IDXX,25,6,19,24.0,-0.21,-1.78,-44.56,-0.32,8.1,0.7,0.73,15.34,251,0.11,17,1,4,3,0
MPWR,24,8,16,33.3,-0.08,-1.79,-42.84,-0.11,14.8,0.5,0.85,26.58,251,0.1,15,1,3,5,0
GOOG,9,3,6,33.3,-0.19,-1.83,-16.48,-0.28,6.1,0.7,0.78,7.85,251,0.11,6,0,1,2,0
LIN,17,3,14,17.6,-0.15,-1.83,-31.16,-0.23,7.9,1.7,0.79,14.58,251,0.14,9,0,3,5,0
BKNG,27,8,19,29.6,-0.16,-1.86,-50.18,-0.25,9.4,0.6,0.8,23.84,251,0.16,17,1,4,5,0
CRWD,21,5,16,23.8,-0.17,-1.92,-40.37,-0.25,8.9,0.6,0.78,15.5,251,0.1,16,0,4,1,0
NVDA,25,7,18,28.0,-0.13,-1.92,-47.99,-0.19,9.5,0.7,0.8,22.73,251,0.11,16,1,4,4,0
CTAS,19,6,13,31.6,-0.17,-1.93,-36.67,-0.26,6.7,1.1,0.78,17.51,251,0.12,12,0,2,5,0
PLTR,25,5,20,20.0,-0.15,-1.93,-48.14,-0.22,15.8,0.4,0.81,23.13,251,0.11,18,0,5,2,0
PDD,20,5,15,25.0,-0.17,-2.4,-48.01,-0.26,7.4,1.4,0.76,18.91,251,0.11,14,0,3,3,0
MAR,28,7,21,25.0,-0.22,-2.67,-74.76,-0.33,11.0,0.9,0.67,23.03,251,0.14,14,1,2,11,0
MSTR,18,4,14,22.2,-0.11,-2.68,-48.29,-0.17,7.3,0.2,0.76,16.58,251,0.1,14,0,4,0,0
PCAR,23,5,18,21.7,-0.21,-2.86,-65.78,-0.31,15.6,1.2,0.73,21.82,251,0.11,17,0,3,3,0
