# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,2.0,4.0,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
APP,16,9,7,56.2,0.12,12.15,194.4,1.8,5.6,0.3,2.44,11.97,251,0.11,5,2,8,1,0
ZS,17,8,9,47.1,-0.24,9.25,157.2,0.96,4.1,0.5,2.77,15.22,251,0.1,6,2,7,2,0
SNDK,19,7,12,36.8,0.57,7.08,134.59,1.16,10.8,1.2,1.47,15.85,251,0.1,7,5,5,2,0
CTSH,17,8,9,47.1,0.14,5.1,86.76,0.52,3.0,1.8,2.06,16.47,250,0.19,2,3,9,3,0
AAPL,15,8,7,53.3,0.22,5.08,76.27,0.56,1.0,1.4,3.29,12.47,251,0.1,3,3,8,1,0
KDP,15,8,7,53.3,0.1,3.71,55.66,0.38,4.5,0.2,2.01,14.81,251,0.1,2,1,9,3,0
AVGO,22,7,15,31.8,0.21,2.92,64.16,0.31,5.1,0.9,1.4,17.65,251,0.1,4,6,9,3,0
NFLX,20,10,10,50.0,-0.03,2.3,46.05,0.25,2.2,0.2,1.62,19.37,251,0.1,5,1,13,1,0
GOOGL,12,5,7,41.7,-0.08,1.86,22.26,0.21,2.7,0.5,1.44,10.79,251,0.11,3,3,6,0,0
PANW,13,5,8,38.5,0.06,1.45,18.91,0.16,9.0,1.8,1.14,11.7,251,0.1,2,2,7,2,0
QCOM,15,6,9,40.0,-0.04,1.41,21.08,0.24,11.7,0.9,1.12,13.69,251,0.1,5,2,7,1,0
ADSK,24,7,17,29.2,-0.24,-1.73,-41.53,-0.2,8.1,1.0,0.77,21.96,252,0.12,10,3,8,3,0
MNST,25,10,15,40.0,-0.04,-1.86,-46.46,-0.19,11.5,0.6,0.73,24.14,251,0.1,5,7,10,3,0
BKR,18,5,13,27.8,-0.99,-2.46,-44.28,-0.25,7.9,0.5,0.63,17.49,252,0.1,4,5,5,4,0
INSM,9,5,4,55.6,-0.03,-2.82,-25.42,-0.38,18.1,3.7,0.91,8.23,251,0.1,2,0,7,0,0
INTU,21,7,14,33.3,0.0,-3.0,-62.92,-0.24,15.6,0.4,0.72,15.4,251,0.1,5,4,10,2,0
NXPI,21,7,14,33.3,-0.34,-3.11,-65.23,-0.33,13.4,1.1,0.71,19.06,252,0.1,5,5,8,3,0
CMCSA,17,6,11,35.3,-0.13,-3.18,-54.09,-0.32,6.4,1.2,0.62,16.77,252,0.1,6,2,7,2,0
TTWO,21,7,14,33.3,-0.22,-3.63,-76.14,-0.36,11.2,0.3,0.6,18.82,251,0.11,8,4,7,2,0
LRCX,19,5,14,26.3,-0.39,-4.29,-81.51,-0.54,10.1,0.6,0.61,16.89,252,0.11,6,4,8,1,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
20,11,356,39.3,-0.08,1.07,379.76,24.2,-13.93,318.75,4.9

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
APP,long,2025-08-19,2025-08-19,0,431.0707,418.95,418.95,473.7,2,-24.24,-2.81,-1.0,stop,5,72.2,0.86
APP,long,2025-08-22,2025-08-22,0,419.1788,418.37,418.37,472.05,2,-1.62,-0.19,-1.0,stop,5,72.2,0.84
APP,short,2025-10-10,2025-10-10,0,599.0104,569.89,657.78,545.0,1,29.12,4.86,0.5,signal_flip,-4,61.1,0.6
APP,long,2025-11-06,2025-11-06,0,652.1214,614.17,614.17,654.9,1,-37.95,-5.82,-1.0,stop,5,73.3,0.65
APP,long,2025-11-10,2025-11-10,0,636.586,656.3,606.93,656.3,1,19.71,3.1,0.66,take_profit,7,100.0,0.64
APP,short,2025-11-12,2025-11-13,1,601.398,576.41,637.34,576.41,1,24.99,4.15,0.7,take_profit,-5,77.8,0.6
APP,long,2025-12-19,2025-12-19,0,702.702,726.83,580.04,726.83,1,24.13,3.43,0.2,take_profit,6,83.3,0.7
APP,short,2025-12-31,2025-12-31,0,693.0163,674.0,713.56,674.0,1,19.02,2.74,0.93,take_profit,-5,72.2,0.69
APP,short,2026-01-15,2026-01-16,1,625.7786,595.51,647.53,595.51,1,30.27,4.84,1.39,take_profit,-4,62.2,0.63
APP,short,2026-02-12,2026-02-13,1,403.596,360.12,452.13,360.12,2,86.95,10.77,0.9,take_profit,-6,88.9,0.81
APP,long,2026-03-16,2026-03-16,0,461.3008,460.84,472.74,520.36,2,-0.92,-0.1,-0.04,gap_stop,4,61.1,0.92
APP,short,2026-04-09,2026-04-10,1,393.7459,366.64,417.84,366.64,2,54.21,6.88,1.13,take_profit,-6,88.9,0.79
APP,long,2026-04-14,2026-04-15,1,428.9736,449.48,397.05,449.48,2,41.01,4.78,0.64,take_profit,5,73.3,0.86
APP,long,2026-04-28,2026-04-28,0,455.455,454.56,454.56,491.99,2,-1.79,-0.2,-1.0,stop,6,83.3,0.91
APP,short,2026-05-14,2026-05-14,0,452.1074,486.07,486.07,443.0,2,-67.93,-7.51,-1.0,stop,-5,77.8,0.91
APP,long,2026-06-09,2026-06-09,0,558.7181,558.16,576.75,622.0,1,-0.56,-0.1,-0.03,gap_stop,6,83.3,0.56
ZS,short,2025-08-06,2025-08-06,0,283.0667,286.25,286.25,274.3,3,-9.55,-1.12,-1.0,stop,-5,72.2,0.85
ZS,short,2025-08-08,2025-08-11,1,273.3564,271.18,283.03,265.88,3,6.53,0.8,0.22,signal_flip,-4,62.2,0.82
ZS,short,2025-08-20,2025-08-20,0,273.9857,276.65,276.65,267.11,3,-7.99,-0.97,-1.0,stop,-5,72.2,0.82
ZS,long,2025-08-29,2025-08-29,0,283.2229,283.65,272.66,283.65,3,1.28,0.15,0.04,take_profit,4,62.2,0.85
ZS,short,2025-09-05,2025-09-05,0,269.3504,274.2,275.42,260.4,3,-14.55,-1.8,-0.8,signal_flip,-4,62.2,0.81
ZS,long,2025-10-21,2025-10-21,0,306.0457,304.66,304.66,319.89,3,-4.16,-0.45,-1.0,stop,5,72.2,0.92
ZS,long,2025-11-10,2025-11-12,2,324.304,320.05,320.05,336.99,3,-12.76,-1.31,-1.0,stop,5,73.3,0.97
ZS,short,2026-01-29,2026-01-29,0,209.3005,204.67,219.71,204.67,4,18.52,2.21,0.44,take_profit,-5,72.2,0.84
ZS,short,2026-02-20,2026-02-20,0,166.833,162.87,203.74,162.87,5,19.81,2.38,0.11,take_profit,-5,73.3,0.84
