# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,2.0,4.0,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
APP,15,9,6,60.0,0.13,13.0,194.96,1.93,5.5,0.3,2.45,11.41,250,0.11,5,1,8,1,0
SNDK,19,7,12,36.8,0.57,7.08,134.59,1.16,10.8,1.2,1.47,15.85,250,0.11,7,5,5,2,0
AAPL,15,8,7,53.3,0.22,5.08,76.27,0.56,1.0,1.4,3.29,12.47,250,0.1,3,3,8,1,0
NFLX,20,10,10,50.0,-0.03,2.3,46.05,0.25,2.2,0.2,1.62,19.37,250,0.1,5,1,13,1,0
PANW,13,5,8,38.5,0.06,1.45,18.91,0.16,9.0,1.8,1.14,11.7,250,0.1,2,2,7,2,0
QCOM,14,5,9,35.7,-0.05,1.04,14.63,0.21,11.7,0.9,1.08,12.82,250,0.1,5,2,6,1,0
MNST,25,10,15,40.0,-0.04,-1.86,-46.46,-0.19,11.5,0.6,0.73,24.14,250,0.1,5,7,10,3,0
INSM,9,5,4,55.6,-0.03,-2.82,-25.42,-0.38,18.1,3.7,0.91,8.23,250,0.11,2,0,7,0,0
TTWO,21,7,14,33.3,-0.22,-3.63,-76.14,-0.36,11.2,0.3,0.6,18.82,250,0.11,8,4,7,2,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
9,6,151,43.7,0.06,2.23,337.39,27.57,-17.44,134.81,2.3

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
APP,long,2025-08-19,2025-08-19,0,431.0707,418.95,418.95,473.7,2,-24.24,-2.81,-1.0,stop,5,72.2,0.86
APP,long,2025-08-22,2025-08-22,0,419.1788,418.37,418.37,472.05,2,-1.62,-0.19,-1.0,stop,5,72.2,0.84
APP,short,2025-10-10,2025-10-10,0,599.0104,569.89,657.78,545.0,1,29.12,4.86,0.5,signal_flip,-4,61.1,0.6
APP,long,2025-11-06,2025-11-06,0,652.1214,614.17,614.17,654.9,1,-37.95,-5.82,-1.0,stop,5,73.3,0.65
APP,long,2025-11-10,2025-11-10,0,636.586,656.3,606.93,656.3,1,19.71,3.1,0.66,take_profit,7,100.0,0.64
APP,short,2025-11-12,2025-11-13,1,601.398,576.41,637.34,576.41,1,24.99,4.15,0.7,take_profit,-5,77.8,0.6
APP,long,2025-12-19,2025-12-19,0,702.702,726.83,580.04,726.83,1,24.13,3.43,0.2,take_profit,6,83.3,0.7
APP,short,2025-12-31,2025-12-31,0,693.0163,674.0,713.56,674.0,1,19.02,2.74,0.93,take_profit,-5,72.2,0.69
APP,short,2026-01-15,2026-01-16,1,625.7786,595.51,647.53,595.51,1,30.27,4.84,1.39,take_profit,-4,62.2,0.63
APP,short,2026-02-12,2026-02-13,1,403.596,360.12,452.13,360.12,2,86.95,10.77,0.9,take_profit,-6,88.9,0.81
APP,long,2026-03-16,2026-03-16,0,461.3008,460.84,472.74,520.36,2,-0.92,-0.1,-0.04,gap_stop,4,61.1,0.92
APP,short,2026-04-09,2026-04-10,1,393.7459,366.64,417.84,366.64,2,54.21,6.88,1.13,take_profit,-6,88.9,0.79
APP,long,2026-04-14,2026-04-15,1,428.9736,449.48,397.05,449.48,2,41.01,4.78,0.64,take_profit,5,73.3,0.86
APP,long,2026-04-28,2026-04-28,0,455.455,454.56,454.56,491.99,2,-1.79,-0.2,-1.0,stop,6,83.3,0.91
APP,short,2026-05-14,2026-05-14,0,452.1074,486.07,486.07,443.0,2,-67.93,-7.51,-1.0,stop,-5,77.8,0.91
SNDK,short,2025-07-28,2025-07-28,0,43.0369,43.08,42.37,40.3,23,-0.99,-0.1,-0.06,gap_stop,-6,83.3,0.99
SNDK,short,2025-08-04,2025-08-05,1,42.0679,42.89,42.89,40.1,23,-18.91,-1.95,-1.0,stop,-6,83.3,0.97
SNDK,short,2025-08-07,2025-08-08,1,41.958,42.89,42.89,40.1,23,-21.44,-2.22,-1.0,stop,-6,83.3,0.97
SNDK,long,2025-08-18,2025-08-20,2,44.2942,43.56,43.56,48.46,22,-16.15,-1.66,-1.0,stop,4,62.2,0.97
SNDK,long,2025-08-22,2025-08-26,2,46.1561,47.35,44.97,48.46,21,25.07,2.59,1.01,signal_flip,5,72.2,0.97
SNDK,long,2025-10-15,2025-10-15,0,134.8847,137.05,123.84,137.05,7,15.16,1.61,0.2,take_profit,6,83.3,0.94
SNDK,long,2025-11-05,2025-11-05,0,202.0819,213.4,183.22,213.4,4,45.27,5.6,0.6,take_profit,5,73.3,0.81
SNDK,long,2025-11-17,2025-11-18,1,253.6534,233.53,233.53,284.76,3,-60.37,-7.93,-1.0,stop,5,73.3,0.76
SNDK,short,2025-11-28,2025-12-03,3,225.0248,194.38,244.68,183.0,4,122.58,13.62,1.56,signal_flip,-5,77.8,0.9
SNDK,short,2025-12-10,2025-12-10,0,217.782,219.32,219.32,187.7,4,-6.15,-0.71,-1.0,stop,-4,61.1,0.87
SNDK,short,2025-12-15,2025-12-18,3,214.2306,222.74,222.61,187.7,4,-34.02,-3.97,-1.01,gap_stop,-4,61.1,0.86
SNDK,long,2026-02-06,2026-02-09,1,615.1145,568.12,568.12,725.0,1,-46.99,-7.64,-1.0,stop,5,73.3,0.61
SNDK,long,2026-02-12,2026-02-13,1,641.1905,610.53,610.76,725.0,1,-30.67,-4.78,-1.01,gap_stop,6,83.3,0.64
SNDK,long,2026-02-19,2026-02-23,2,597.9273,668.0,588.98,668.0,1,70.07,11.72,7.83,take_profit,5,73.3,0.6
SNDK,long,2026-02-27,2026-03-02,1,627.7071,618.65,619.21,691.54,1,-9.06,-1.44,-1.07,gap_stop,6,83.3,0.63
SNDK,long,2026-03-11,2026-03-13,2,626.576,661.2,572.08,661.2,1,34.62,5.53,0.64,take_profit,6,83.3,0.63
SNDK,long,2026-03-26,2026-03-26,0,654.654,654.0,691.33,777.6,1,-0.65,-0.1,-0.02,gap_stop,5,73.3,0.65
