ticker,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
COP,119.92,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session (no premarket),121.39,114.86,bullish,118.9,R 38.2%,117.35,R 61.8%,121.39,E 100.0%,123.17,E 127.2%,125.43,E 161.8%,1.61,2.75,4.21,121.39,E 100.0%,119.85,121.39,119.85,118.9,118.12,117.35,116.26,121.39,123.17,123.88,125.43,127.92,131.96
HOOD,86.36,,6,6,0,Strong bullish,251,Daily,bull,Inverted hammer,bull,Significantly above trend,bull,Wide divergence above SMA,neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),92.4,78.93,bullish,87.25,R 38.2%,84.08,R 61.8%,92.4,E 100.0%,96.06,E 127.2%,100.72,E 161.8%,1.62,2.78,4.25,92.4,E 100.0%,85.67,87.25,89.22,87.25,85.67,84.08,81.81,92.4,96.06,97.55,100.72,105.87,114.19
LNT,73.0,,6,6,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session (no premarket),73.62,69.56,bullish,72.07,R 38.2%,71.11,R 61.8%,73.62,E 100.0%,74.72,E 127.2%,76.13,E 161.8%,1.61,2.76,4.23,73.62,E 100.0%,72.66,73.62,72.66,72.07,71.59,71.11,70.43,73.62,74.72,75.17,76.13,77.68,80.19
ADP,231.1,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),237.11,223.95,bullish,232.08,R 38.2%,228.98,R 61.8%,237.11,E 100.0%,240.69,E 127.2%,245.24,E 161.8%,1.62,2.78,4.25,237.11,E 100.0%,230.53,232.08,234.0,232.08,230.53,228.98,226.77,237.11,240.69,242.14,245.24,250.27,258.4
AFL,117.11,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Breakout above prior resistance,session (no premarket),118.83,110.54,bullish,115.66,R 38.2%,113.71,R 61.8%,118.83,E 100.0%,121.08,E 127.2%,123.95,E 161.8%,1.63,2.78,4.25,118.83,E 100.0%,116.87,118.83,116.87,115.66,114.69,113.71,112.31,118.83,121.08,122.0,123.95,127.12,132.24
AMT,192.5,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),196.08,181.47,bullish,190.5,R 38.2%,187.05,R 61.8%,196.08,E 100.0%,200.05,E 127.2%,205.11,E 161.8%,1.62,2.77,4.23,196.08,E 100.0%,190.5,192.63,192.63,190.5,188.78,187.05,184.6,196.08,200.05,201.66,205.11,210.69,219.72
BG,128.21,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),134.87,123.23,bullish,130.42,R 38.2%,127.68,R 61.8%,134.87,E 100.0%,138.04,E 127.2%,142.06,E 161.8%,1.62,2.78,4.25,134.87,E 100.0%,127.68,129.05,132.12,130.42,129.05,127.68,125.72,134.87,138.04,139.32,142.06,146.51,153.7
CCI,93.38,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),95.07,88.6,bullish,92.6,R 38.2%,91.07,R 61.8%,95.07,E 100.0%,96.83,E 127.2%,99.07,E 161.8%,1.61,2.76,4.23,95.07,E 100.0%,92.6,93.54,93.54,92.6,91.83,91.07,89.98,95.07,96.83,97.54,99.07,101.54,105.54
CL,89.95,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Breakout above prior resistance,session (no premarket),89.98,84.3,bullish,87.81,R 38.2%,86.47,R 61.8%,89.98,E 100.0%,91.52,E 127.2%,93.49,E 161.8%,1.62,2.77,4.24,89.98,E 100.0%,88.64,89.98,88.64,87.81,87.14,86.47,85.52,89.98,91.52,92.15,93.49,95.66,99.17
CMS,73.46,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,session (no premarket),73.75,68.84,bullish,71.87,R 38.2%,70.72,R 61.8%,73.75,E 100.0%,75.09,E 127.2%,76.78,E 161.8%,1.63,2.8,4.27,73.75,E 100.0%,72.59,73.75,72.59,71.87,71.29,70.72,69.89,73.75,75.09,75.63,76.78,78.66,81.69
