ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
JBL,Jabil Inc.,364.48,,6,6,0,Strong bullish,430,Hourly,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,5 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,367.99,351.19,bullish,361.57,R 38.2%,357.61,R 61.8%,367.99,E 100.0%,372.56,E 127.2%,378.37,E 161.8%,1.62,2.78,4.24,367.99,E 100.0%,364.03,367.99,364.03,361.57,359.59,357.61,354.79,367.99,372.56,374.41,378.37,384.79,395.16
CIEN,Ciena Corporation,442.43,,5,5,0,Strong bullish,430,Hourly,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session,450.99,424.88,bullish,441.02,R 38.2%,434.85,R 61.8%,450.99,E 100.0%,458.09,E 127.2%,467.13,E 161.8%,1.62,2.77,4.23,450.99,E 100.0%,441.02,444.83,444.83,441.02,437.94,434.85,430.47,450.99,458.09,460.96,467.13,477.1,493.24
FANG,"Diamondback Energy, Inc.",196.79,,5,5,0,Strong bullish,430,Hourly,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),session,201.54,195.03,bullish,199.05,R 38.2%,197.52,R 61.8%,201.54,E 100.0%,203.31,E 127.2%,205.56,E 161.8%,1.63,2.78,4.25,201.54,E 100.0%,196.42,197.52,200.0,199.05,198.28,197.52,196.42,201.54,203.31,204.03,205.56,208.05,212.07
HAL,Halliburton Company,40.05,,5,5,0,Strong bullish,430,Hourly,bull,Inverted hammer,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,40.48,39.69,bullish,40.18,R 38.2%,39.99,R 61.8%,40.48,E 100.0%,40.69,E 127.2%,40.97,E 161.8%,1.58,2.68,4.16,40.48,E 100.0%,39.99,40.08,40.29,40.18,40.08,39.99,39.86,40.48,40.69,40.78,40.97,41.27,41.76
KEYS,"Keysight Technologies, Inc.",331.5,,5,5,0,Strong bullish,430,Hourly,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support,session,334.99,323.12,bullish,330.45,R 38.2%,327.65,R 61.8%,334.99,E 100.0%,338.22,E 127.2%,342.33,E 161.8%,1.62,2.78,4.24,334.99,E 100.0%,330.45,332.19,332.19,330.45,329.05,327.65,325.66,334.99,338.22,339.53,342.33,346.87,354.2
MCHP,Microchip Technology Incorporated,90.02,,5,5,0,Strong bullish,430,Hourly,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),multi-day swing (20b),94.5,85.29,bullish,90.98,R 38.2%,88.81,R 61.8%,94.5,E 100.0%,97.01,E 127.2%,100.19,E 161.8%,1.62,2.78,4.24,94.5,E 100.0%,89.9,90.98,92.33,90.98,89.9,88.81,87.26,94.5,97.01,98.02,100.19,103.71,109.4
MRNA,"Moderna, Inc.",47.76,,5,6,1,Strong bullish,430,Hourly,bull,Inverted hammer,bull,Above trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bear,Overbought (> +100),bull,Above SMA (acting as support),session,48.2,45.67,bullish,47.23,R 38.2%,46.64,R 61.8%,48.2,E 100.0%,48.89,E 127.2%,49.76,E 161.8%,1.64,2.81,4.29,48.2,E 100.0%,47.6,48.2,47.6,47.23,46.94,46.64,46.21,48.2,48.89,49.17,49.76,50.73,52.29
MU,"Micron Technology, Inc.",924.1,,5,5,0,Strong bullish,430,Hourly,bull,Bullish engulfing,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),multi-day swing (20b),989.12,854.56,bullish,937.72,R 38.2%,905.96,R 61.8%,989.12,E 100.0%,1025.72,E 127.2%,1072.28,E 161.8%,1.62,2.77,4.24,989.12,E 100.0%,921.84,937.72,957.36,937.72,921.84,905.96,883.36,989.12,1025.72,1040.52,1072.28,1123.68,1206.84
OXY,Occidental Petroleum Corporation,57.57,,5,5,0,Strong bullish,430,Hourly,bull,Inverted hammer,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support,session,58.46,56.98,bullish,57.89,R 38.2%,57.55,R 61.8%,58.46,E 100.0%,58.86,E 127.2%,59.37,E 161.8%,1.68,2.85,4.35,58.46,E 100.0%,57.55,57.72,58.11,57.89,57.72,57.55,57.3,58.46,58.86,59.03,59.37,59.94,60.85
STX,Seagate Technology Holdings plc,845.48,,5,5,0,Strong bullish,430,Hourly,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Bounce off prior support,multi-day swing (20b),911.0,801.81,bullish,869.29,R 38.2%,843.52,R 61.8%,911.0,E 100.0%,940.7,E 127.2%,978.48,E 161.8%,1.62,2.77,4.24,911.0,E 100.0%,843.52,856.4,885.23,869.29,856.4,843.52,825.18,911.0,940.7,952.71,978.48,1020.19,1087.67
TER,"Teradyne, Inc.",365.43,,5,5,0,Strong bullish,430,Hourly,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,372.43,345.61,bullish,362.18,R 38.2%,355.85,R 61.8%,372.43,E 100.0%,379.72,E 127.2%,389.0,E 161.8%,1.62,2.77,4.24,372.43,E 100.0%,362.18,366.1,366.1,362.18,359.02,355.85,351.35,372.43,379.72,382.67,389.0,399.24,415.81
ABBV,AbbVie Inc.,225.62,,4,5,1,Strong bullish,430,Hourly,bear,Bearish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,227.0,224.04,bullish,225.87,R 38.2%,225.17,R 61.8%,227.0,E 100.0%,227.81,E 127.2%,228.83,E 161.8%,1.61,2.77,4.23,227.0,E 100.0%,225.52,225.87,226.3,225.87,225.52,225.17,224.67,227.0,227.81,228.13,228.83,229.96,231.79
AON,Aon plc,338.49,,4,5,1,Strong bullish,430,Hourly,bear,Stale green (3-bar exhaustion),neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),multi-day swing (20b),340.77,321.84,bullish,333.54,R 38.2%,329.07,R 61.8%,340.77,E 100.0%,345.92,E 127.2%,352.47,E 161.8%,1.62,2.77,4.23,340.77,E 100.0%,336.3,340.77,336.3,333.54,331.3,329.07,325.89,340.77,345.92,348.0,352.47,359.7,371.4
