ticker,company_name,sector,price,chg_pct,net_score,bull,bear,verdict,bars,mode,mtf_aligned,mtf_detail,earnings_soon,atr_stop,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,Rel.Str,Rel.Str_label,VWAP,VWAP_label,News,News_label,gamma_strike,gamma_value,gamma_oi,gamma_pin,gamma_squeeze,gamma_size_mult,gamma_detail,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
NVDA,NVIDIA Corporation,Technology,205.09,,7,7,0,Strong bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+7)  Daily: bull (+2),False,201.44,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,bull,VWAP reclaim ($205.09 > $204.98),bull,"Positive sentiment (score=+10, 5 articles)",205.0,0.0919,4571,YES,,0.75,"⚠ Gamma pin risk: $205.00 strike (0.0% away) γ=0.0919 OI=4,571 — size reduced 75%",session,207.07,201.98,bullish,205.13,R 38.2%,203.92,R 61.8%,207.07,E 100.0%,208.45,E 127.2%,210.22,E 161.8%,1.6,2.74,4.21,207.07,E 100.0%,204.52,205.13,205.87,205.13,204.52,203.92,203.07,207.07,208.45,209.01,210.22,212.16,215.31
GILD,"Gilead Sciences, Inc.",Healthcare,125.45,,6,7,1,Strong bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+6)  Daily: bear (-1),False,123.73,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),bear,2 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Bounce off prior support,neutral,In line with market,bull,VWAP reclaim ($125.45 > $125.40),bull,"Positive sentiment (score=+10, 5 articles)",125.0,0.0706,2928,YES,,0.75,"⚠ Gamma pin risk: $125.00 strike (0.4% away) γ=0.0706 OI=2,928 — size reduced 75%",session,126.9,124.29,bullish,125.9,R 38.2%,125.29,R 61.8%,126.9,E 100.0%,127.61,E 127.2%,128.51,E 161.8%,1.64,2.8,4.28,126.9,E 100.0%,125.29,125.59,126.28,125.9,125.59,125.29,124.85,126.9,127.61,127.9,128.51,129.51,131.12
ARM,Arm Holdings plc American Depositary Shares,Technology,378.49,,5,7,2,Strong bullish,439,Hourly,True,MTF aligned ✓ — Hourly: bull (+5)  Daily: bull (+6),False,362.19,bull,Bullish bar,bull,Above trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bear,Overbought (> +100),bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+15.0% 10-bar),bull,Above VWAP (+4.33%),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,381.45,328.41,bullish,361.19,R 38.2%,348.67,R 61.8%,381.45,E 100.0%,395.88,E 127.2%,414.23,E 161.8%,1.62,2.77,4.24,381.45,E 100.0%,368.93,381.45,368.93,361.19,354.93,348.67,339.76,381.45,395.88,401.71,414.23,434.49,467.27
CSX,CSX Corporation,Industrials,47.72,,5,6,1,Strong bullish,440,Hourly,True,MTF: one timeframe neutral — Hourly: bull (+5)  Daily: neutral (+0),False,47.28,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bull,Breakout above prior resistance,neutral,In line with market,neutral,Near VWAP ($47.70),bull,"Positive sentiment (score=+10, 5 articles)",47.5,0.2256,23880,YES,,0.75,"⚠ Gamma pin risk: $47.50 strike (0.5% away) γ=0.2256 OI=23,880 — size reduced 75%",session,48.03,47.23,bullish,47.72,R 38.2%,47.54,R 61.8%,48.03,E 100.0%,48.25,E 127.2%,48.52,E 161.8%,1.72,2.94,4.44,48.03,E 100.0%,47.63,47.72,47.84,47.72,47.63,47.54,47.4,48.03,48.25,48.34,48.52,48.83,49.32
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,90.5,,5,6,1,Strong bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+5)  Daily: bull (+2),False,89.43,bull,Inverted hammer,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bear,Rejection at prior resistance,neutral,"Short-term bounce, weak medium-term RS",neutral,Extended above VWAP band ($90.12),bull,"Positive sentiment (score=+10, 5 articles)",90.0,0.0932,1967,YES,,0.75,"⚠ Gamma pin risk: $90.00 strike (0.6% away) γ=0.0932 OI=1,967 — size reduced 75%",session,90.54,88.49,bullish,89.76,R 38.2%,89.27,R 61.8%,90.54,E 100.0%,91.1,E 127.2%,91.81,E 161.8%,1.59,2.73,4.18,90.54,E 100.0%,90.06,90.54,90.06,89.76,89.51,89.27,88.93,90.54,91.1,91.32,91.81,92.59,93.86
WMT,Walmart Inc.,Consumer Defensive,120.76,,5,6,1,Strong bullish,439,Hourly,False,MTF conflict ✗ — Hourly: bull (+5)  Daily: bear (-3),False,119.34,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bear,Rejection at prior resistance,neutral,In line with market,bull,VWAP reclaim ($120.76 > $120.51),bull,"Positive sentiment (score=+10, 5 articles)",121.0,0.121,2604,YES,,0.75,"⚠ Gamma pin risk: $121.00 strike (0.2% away) γ=0.1210 OI=2,604 — size reduced 75%",session,121.86,119.54,bullish,120.97,R 38.2%,120.43,R 61.8%,121.86,E 100.0%,122.49,E 127.2%,123.29,E 161.8%,1.65,2.81,4.3,121.86,E 100.0%,120.7,120.97,121.31,120.97,120.7,120.43,120.04,121.86,122.49,122.75,123.29,124.18,125.61
GOOGL,Alphabet Inc.,Communication Services,361.3,,4,5,1,Strong bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+4)  Daily: bear (-2),False,355.16,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Bounce off prior support,neutral,In line with market,neutral,Near VWAP ($360.60),bull,"Positive sentiment (score=+10, 5 articles)",355.0,0.034,3344,,YES,1.25,"⚡ Gamma squeeze setup: breaking $355.00 strike γ=0.0340 OI=3,344 — size increased 125%",session,366.53,352.93,bullish,361.33,R 38.2%,358.13,R 61.8%,366.53,E 100.0%,370.23,E 127.2%,374.93,E 161.8%,1.63,2.78,4.25,366.53,E 100.0%,359.73,361.33,363.32,361.33,359.73,358.13,355.84,366.53,370.23,371.73,374.93,380.13,388.53
GOOG,Alphabet Inc.,Communication Services,359.33,,4,5,1,Strong bullish,440,Hourly,False,MTF conflict ✗ — Hourly: bull (+4)  Daily: bear (-2),False,353.08,bull,Bullish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Bounce off prior support,neutral,In line with market,neutral,Near VWAP ($358.62),bull,"Positive sentiment (score=+10, 5 articles)",360.0,0.0299,7093,YES,,0.75,"⚠ Gamma pin risk: $360.00 strike (0.2% away) γ=0.0299 OI=7,093 — size reduced 75%",session,364.74,349.96,bullish,359.09,R 38.2%,355.61,R 61.8%,364.74,E 100.0%,368.76,E 127.2%,373.87,E 161.8%,1.62,2.78,4.25,364.74,E 100.0%,359.09,361.25,361.25,359.09,357.35,355.61,353.12,364.74,368.76,370.39,373.87,379.52,388.65
ASML,ASML Holding N.V.,Technology,1878.67,,4,6,2,Strong bullish,439,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+3),False,1827.9,bear,Bearish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,7 open gap(s) below (support),bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",bull,Above VWAP (+0.40%),bull,"Positive sentiment (score=+10, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,1903.47,1831.46,bullish,1875.96,R 38.2%,1858.97,R 61.8%,1903.47,E 100.0%,1923.06,E 127.2%,1947.97,E 161.8%,1.62,2.77,4.24,1903.47,E 100.0%,1875.96,1886.48,1886.48,1875.96,1867.47,1858.97,1846.87,1903.47,1923.06,1930.98,1947.97,1975.48,2019.98
EXC,Exelon Corporation,Utilities,46.19,,4,5,1,Strong bullish,440,Hourly,True,MTF aligned ✓ — Hourly: bull (+4)  Daily: bull (+1),False,45.77,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bear,Overbought (> +100),bull,Breakout above prior resistance,neutral,In line with market,neutral,Above VWAP but inconsistent,bull,"Positive sentiment (score=+10, 5 articles)",46.0,0.2447,3044,YES,,0.75,"⚠ Gamma pin risk: $46.00 strike (0.4% away) γ=0.2447 OI=3,044 — size reduced 75%",session,46.4,45.46,bullish,46.04,R 38.2%,45.82,R 61.8%,46.4,E 100.0%,46.66,E 127.2%,46.98,E 161.8%,1.64,2.82,4.27,46.4,E 100.0%,46.18,46.4,46.18,46.04,45.93,45.82,45.66,46.4,46.66,46.76,46.98,47.34,47.92
