ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
PANW,"Palo Alto Networks, Inc.",260.52,,4,5,1,Strong bullish,250,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,302.95,251.15,bullish,283.16,R 38.2%,270.94,R 61.8%,302.95,E 100.0%,317.04,E 127.2%,334.96,E 161.8%,1.62,2.77,4.24,302.95,E 100.0%,,262.24,290.73,283.16,277.05,270.94,262.24,302.95,317.04,322.74,334.96,354.75,386.76
ARM,Arm Holdings plc American Depositary Shares,324.86,,4,5,1,Strong bullish,250,Daily,bull,Stale red (3-bar reversal),neutral,In line with trend,bull,Wide divergence above SMA,bull,4 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,427.99,298.38,bullish,378.48,R 38.2%,347.89,R 61.8%,427.99,E 100.0%,463.24,E 127.2%,508.09,E 161.8%,1.62,2.77,4.24,427.99,E 100.0%,,326.12,397.4,378.48,363.18,347.89,326.12,427.99,463.24,477.5,508.09,557.6,637.7
MNST,Monster Beverage Corporation,90.15,,3,5,2,Moderately bullish,250,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Breakout above prior resistance,session,90.49,87.23,bullish,89.24,R 38.2%,88.48,R 61.8%,90.49,E 100.0%,91.38,E 127.2%,92.5,E 161.8%,1.64,2.82,4.29,90.49,E 100.0%,89.72,90.49,89.72,89.24,88.86,88.48,87.93,90.49,91.38,91.74,92.5,93.75,95.76
SNDK,Sandisk Corporation,1646.54,,3,5,2,Moderately bullish,250,Daily,bear,Bearish bar,bear,Above trend,bull,Wide divergence above SMA,bull,14 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,1861.0,1514.36,bullish,1728.58,R 38.2%,1646.78,R 61.8%,1861.0,E 100.0%,1955.29,E 127.2%,2075.22,E 161.8%,1.62,2.77,4.24,1861.0,E 100.0%,1588.54,1646.78,1779.19,1728.58,1687.68,1646.78,1588.54,1861.0,1955.29,1993.42,2075.22,2207.64,2421.86
LRCX,Lam Research Corporation,327.16,,3,5,2,Moderately bullish,250,Daily,bear,Bearish bar,bear,Significantly above trend,bull,Wide divergence above SMA,bull,9 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,349.09,302.74,bullish,331.38,R 38.2%,320.45,R 61.8%,349.09,E 100.0%,361.7,E 127.2%,377.73,E 161.8%,1.62,2.77,4.24,349.09,E 100.0%,325.91,331.38,338.15,331.38,325.91,320.45,312.66,349.09,361.7,366.8,377.73,395.44,424.08
CTSH,Cognizant Technology Solutions Corporation,52.94,,3,4,1,Moderately bullish,250,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,57.65,52.2,bullish,55.57,R 38.2%,54.28,R 61.8%,57.65,E 100.0%,59.13,E 127.2%,61.02,E 161.8%,1.61,2.76,4.22,57.65,E 100.0%,,53.37,56.36,55.57,54.93,54.28,53.37,57.65,59.13,59.73,61.02,63.1,66.47
INSM,Insmed Incorporated,99.04,,2,4,2,Moderately bullish,250,Daily,bull,Bullish bar,neutral,In line with trend,bear,Wide divergence below SMA,bear,4 open gap(s) above (resistance),bull,%K above %D (bullish cross) · Wide,bull,Oversold (< -100),bull,Bounce off prior support,session,108.46,92.07,bullish,102.2,R 38.2%,98.33,R 61.8%,108.46,E 100.0%,112.92,E 127.2%,118.59,E 161.8%,1.62,2.77,4.24,108.46,E 100.0%,98.33,100.26,104.59,102.2,100.26,98.33,95.58,108.46,112.92,114.72,118.59,124.85,134.98
TTWO,"Take-Two Interactive Software, Inc.",212.05,,2,4,2,Moderately bullish,250,Daily,bull,Hammer,neutral,Significantly below trend,bear,Wide divergence below SMA,bull,1 open gap(s) below (support),bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,231.02,207.91,bullish,222.19,R 38.2%,216.74,R 61.8%,231.02,E 100.0%,237.31,E 127.2%,245.3,E 161.8%,1.62,2.77,4.24,231.02,E 100.0%,,212.86,225.57,222.19,219.47,216.74,212.86,231.02,237.31,239.85,245.3,254.13,268.41
CSCO,"Cisco Systems, Inc.",120.36,,2,4,2,Moderately bullish,250,Daily,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,130.37,117.01,bullish,125.27,R 38.2%,122.11,R 61.8%,130.37,E 100.0%,134.0,E 127.2%,138.63,E 161.8%,1.61,2.76,4.23,130.37,E 100.0%,119.87,122.11,127.22,125.27,123.69,122.11,119.87,130.37,134.0,135.47,138.63,143.73,151.99
ODFL,"Old Dominion Freight Line, Inc.",248.73,,2,4,2,Moderately bullish,250,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,4 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),session,252.03,216.43,bullish,238.43,R 38.2%,230.03,R 61.8%,252.03,E 100.0%,261.71,E 127.2%,274.03,E 161.8%,1.62,2.77,4.24,252.03,E 100.0%,243.63,252.03,243.63,238.43,234.23,230.03,224.04,252.03,261.71,265.63,274.03,287.63,309.64
